N,U_value,para_repeat_times,final_energy_ratio,final_fidelity,length,epoch
8,2,10,0.9967944462787579,0.994170419543506,150,167
8,8,25,0.977411166039392,0.9776470388358599,375,733
8,8,28,0.9955775061540906,0.9972618381784574,420,550
10,8,25,0.9708314083876519,0.9260789945887742,475,1840
8,2,15,0.9992401302689166,0.9989452955965721,225,546
8,8,35,0.9966217356761538,0.9981271654013073,525,786
10,8,35,0.9770563232850218,0.9458831255015859,665,1063
10,8,42,0.99341888073257,0.9938731759607771,798,1794
10,6,45,0.9883643905942426,0.9819859411714064,855,1216
10,4,45,0.989608171473804,0.9832807254859618,855,1999
8,2,30,0.9998527962174686,0.9998273189144353,450,229
8,2,45,0.9999428618468458,0.9999397185010488,675,209
8,8,55,0.9992437198508756,0.9997648188320024,825,1109
8,2,60,0.9999478371375247,0.9999458266773711,900,199
8,2,70,0.9999534877365434,0.9999545522001752,1050,196
8,8,75,0.9993367981820553,0.9995658327808242,1125,486
8,2,150,0.9999636458769956,0.9999655470255903,2250,271
8,8,150,0.9998156921976014,0.99993853352519,2250,711
10,8,200,0.9993462594134722,0.9996911845911263,3800,1668
8,8,200,0.9999059380617681,0.9999779358942644,3000,585
8,8,100,0.9995776094896057,0.9998216159748236,1500,624
10,8,100,0.9986737302138347,0.9991388201252563,1900,1354
10,8,75,0.9977621396306329,0.9984083188745208,1425,1352
10,2,25,0.992458988096599,0.9451980179358274,475,417
10,2,10,0.9600026329718189,0.5673653889134643,190,77
10,2,50,0.9968067339173866,0.9789921288266626,950,914
10,2,75,0.9990094066870397,0.9973670741003114,1425,932
10,2,150,0.9996585549395156,0.9994198114199571,2850,994
